date,file_name,implementation,algorithm,time_in_milliseconds,emissions,emissions_rate,energy_consumed,cpu_energy,cpu_emissions,cpu_percentage
2025-06-09 14:58:04,one_million_floats.csv,C++,Merge Sort,128.8096904754638672,1.0664747814484203e-06,7.458028481672722e-06,2.799513798263342e-06,1.588121826051267e-06,6.049950096342302e-07,56.73
2025-06-09 14:58:12,one_million_floats.csv,C++,Merge Sort,126.5437602996826172,1.1418761594907377e-06,8.161018604127359e-06,2.9974436526860156e-06,1.5735037588015394e-06,5.994262569154464e-07,52.49
2025-06-09 14:58:21,one_million_floats.csv,C++,Merge Sort,123.1310367584228516,1.410024946593106e-06,1.0330742440523226e-05,3.7013386181732667e-06,1.522592884738161e-06,5.800317594410024e-07,41.14
2025-06-09 14:58:30,one_million_floats.csv,C++,Merge Sort,132.2019100189208984,1.0891152220014298e-06,7.354450361091544e-06,2.858945326162042e-06,1.6606182729368701e-06,6.326125310753006e-07,58.08
2025-06-09 15:00:58,one_million_strings.csv,Python,Quick Sort,3401.8473625183105469,3.574573701895329e-05,1.0357735870890706e-05,9.383314613191571e-05,4.034270144080178e-05,1.5368552113873438e-05,42.99
2025-06-09 15:01:09,one_million_strings.csv,Python,Quick Sort,3457.2741985321044922,3.61856123278877e-05,1.030972422293269e-05,9.498782603461792e-05,4.070343061827325e-05,1.5505971894031195e-05,42.85
2025-06-09 15:01:21,one_million_strings.csv,Python,Quick Sort,3386.4746093750000000,3.5287883733928385e-05,1.0262576099837458e-05,9.263127374702292e-05,4.0102217915082006e-05,1.527693991475049e-05,43.29
2025-06-09 15:01:32,one_million_strings.csv,Python,Quick Sort,3392.3139572143554688,3.6120809606029535e-05,1.0531694710568407e-05,9.481771782656395e-05,4.05343038163055e-05,1.5441543038821582e-05,42.75
2025-06-09 15:01:43,one_million_strings.csv,Python,Quick Sort,3396.1956501007080078,3.6030791936937617e-05,1.0474315040602435e-05,9.458141996833605e-05,4.081837821023199e-05,1.5549761179187877e-05,43.16
2025-06-09 15:02:03,one_million_strings.csv,C++,Quick Sort,521.2285518646240234,4.931243281989589e-06,8.69230588487977e-06,1.2944594518938413e-05,6.445908212276974e-06,2.455568733466913e-06,49.80
2025-06-09 15:02:11,one_million_strings.csv,C++,Quick Sort,561.8264675140380859,4.5719986524326875e-06,7.946579607648248e-06,1.2001571472457508e-05,6.579894708355627e-06,2.5066108891480756e-06,54.83
2025-06-09 15:02:20,one_million_strings.csv,C++,Quick Sort,562.1988773345947266,5.008861681702634e-06,8.683437535912982e-06,1.3148344091619986e-05,6.541711622254712e-06,2.4920650424979324e-06,49.75
2025-06-09 15:02:28,one_million_strings.csv,C++,Quick Sort,556.2810897827148438,4.537352353609986e-06,7.95574228411812e-06,1.1910624369628524e-05,6.485905466497438e-06,2.4708056874621985e-06,54.45
2025-06-09 15:02:37,one_million_strings.csv,C++,Quick Sort,538.1164550781250000,4.43999992826293e-06,8.044510786662208e-06,1.1655072655894289e-05,6.241531382110768e-06,2.3777113800150974e-06,53.55
2025-06-09 15:03:01,one_million_strings.csv,Python,Heap Sort,6257.0168972015380859,7.887715638632819e-05,1.2468599021646002e-05,0.0002070538296005465,7.922308337841508e-05,3.0180033613007227e-05,38.26
2025-06-09 15:03:16,one_million_strings.csv,Python,Heap Sort,6660.1896286010742188,8.589693222674197e-05,1.278558613786357e-05,0.00022548085635054987,9.056616495287453e-05,3.4501180538797556e-05,40.17
2025-06-09 15:03:30,one_million_strings.csv,Python,Heap Sort,6293.1780815124511719,7.885293674392658e-05,1.2380628190539378e-05,0.00020699025264188627,7.74752058690046e-05,2.95141796757973e-05,37.43
2025-06-09 15:03:45,one_million_strings.csv,Python,Heap Sort,6139.9159431457519531,7.658383272809246e-05,1.2337917777215981e-05,0.00020103381737260128,7.533566387959469e-05,2.8699121154931598e-05,37.47
2025-06-09 15:03:59,one_million_strings.csv,Python,Heap Sort,6157.6302051544189453,7.631973176728564e-05,1.2251647363958243e-05,0.0002003405480175499,7.513256288377984e-05,2.8621749830575935e-05,37.50
2025-06-09 15:04:15,one_million_strings.csv,C++,Heap Sort,1204.3590545654296875,1.1363242452209808e-05,9.209017178200481e-06,2.982869786641241e-05,1.365136036552382e-05,5.200485731246299e-06,45.77
2025-06-09 15:04:25,one_million_strings.csv,C++,Heap Sort,1197.6146697998046875,1.1290074271680749e-05,9.225843605056539e-06,2.9636630192100664e-05,1.344514825611133e-05,5.121929228165612e-06,45.37
2025-06-09 15:04:34,one_million_strings.csv,C++,Heap Sort,1223.6857414245605469,1.1464520244901958e-05,9.177353958378831e-06,3.0094553733828474e-05,1.3801897708177677e-05,5.257832931930286e-06,45.86
2025-06-09 15:04:43,one_million_strings.csv,C++,Heap Sort,1199.5515823364257812,1.1203439324433892e-05,9.137425892003707e-06,2.9409212034214177e-05,1.3485827733096187e-05,5.137426074922993e-06,45.86
2025-06-09 15:04:52,one_million_strings.csv,C++,Heap Sort,1244.1384792327880859,1.2181613704742436e-05,9.580735229339958e-06,3.197693583079784e-05,1.4621286974795741e-05,5.569979273048437e-06,45.72
2025-06-09 15:05:32,one_million_strings.csv,Python,Merge Sort,4073.1728076934814453,4.530871195555824e-05,1.0963529357872715e-05,0.00011893611223404184,4.790565276893352e-05,1.8249658422325228e-05,40.28
2025-06-09 15:05:44,one_million_strings.csv,Python,Merge Sort,4063.4636878967285156,4.5183219504199306e-05,1.0952774198867332e-05,0.00011860669249035124,4.770656122077624e-05,1.817381449705471e-05,40.22
2025-06-09 15:05:56,one_million_strings.csv,Python,Merge Sort,4040.7960414886474609,4.487834613131523e-05,1.0951293626658073e-05,0.00011780639488467051,4.714016687876882e-05,1.7958046572466986e-05,40.01
2025-06-09 15:06:09,one_million_strings.csv,Python,Merge Sort,4152.4419784545898438,4.591150787295212e-05,1.0913955184855708e-05,0.0001205184614068831,4.8343485896978206e-05,1.8416450952453847e-05,40.11
2025-06-09 15:06:21,one_million_strings.csv,Python,Merge Sort,4037.0533466339111328,4.49801503100507e-05,1.100170515783651e-05,0.00011807363252408636,4.709635934372486e-05,1.7941358091991982e-05,39.89
2025-06-09 15:06:42,one_million_strings.csv,C++,Merge Sort,746.8426227569580078,6.208894786555945e-06,8.094781226906652e-06,1.6298450680026107e-05,8.824183170452055e-06,3.3615725787837096e-06,54.14
2025-06-09 15:06:51,one_million_strings.csv,C++,Merge Sort,742.8989410400390625,6.394689291661872e-06,8.452092243946552e-06,1.6786164304139313e-05,8.505303193125785e-06,3.240095251421268e-06,50.67
2025-06-09 15:07:00,one_million_strings.csv,C++,Merge Sort,734.2684268951416016,6.533041929874593e-06,8.712721631629817e-06,1.7149342249309864e-05,8.502145690602453e-06,3.2388924008350046e-06,49.58
2025-06-09 15:07:08,one_million_strings.csv,C++,Merge Sort,733.7639331817626953,6.081497821763097e-06,8.122215191052484e-06,1.596403155732536e-05,8.391923657979916e-06,3.1969033175074493e-06,52.57
2025-06-09 15:07:17,one_million_strings.csv,C++,Merge Sort,747.3604679107666016,6.174030156693703e-06,8.11227207342361e-06,1.6206930454636313e-05,8.585259645980253e-06,3.2705546621361772e-06,52.97
